2026-06-09T10:49:16.156684491Z 2026-06-09 10:49:16,156 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:49:16] "GET / HTTP/1.1" 200 -
2026-06-09T10:49:17.153320206Z 2026-06-09 10:49:17,153 - syncedlyrics - INFO - Lyrics found for "Nastaran Farshid Amin" on Musixmatch
2026-06-09T10:49:17.345905414Z 2026-06-09 10:49:17,345 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:49:17.60146466Z 2026-06-09 10:49:17,601 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/sendMessage "HTTP/1.1 200 OK"
2026-06-09T10:49:17.856132852Z 2026-06-09 10:49:17,855 - downloader - INFO - SoundCloud download succeeded
2026-06-09T10:49:21.080700724Z 2026-06-09 10:49:21,075 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/sendAudio "HTTP/1.1 200 OK"
2026-06-09T10:49:27.511048777Z 2026-06-09 10:49:27,510 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:49:29.884860745Z 2026-06-09 10:49:29,884 - syncedlyrics - INFO - No suitable lyrics found for "بیا نزدیکتر Sohrab Pournazeri" :(
2026-06-09T10:49:30.622316133Z 2026-06-09 10:49:30,622 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/sendMessage "HTTP/1.1 200 OK"
2026-06-09T10:49:35.508859836Z 2026-06-09 10:49:35,508 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:49:35] "GET / HTTP/1.1" 200 -
2026-06-09T10:49:37.673400163Z 2026-06-09 10:49:37,673 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:49:47.835895852Z 2026-06-09 10:49:47,835 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:49:57.996475139Z 2026-06-09 10:49:57,996 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:50:06.683549538Z 2026-06-09 10:50:06,683 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:50:06] "GET / HTTP/1.1" 200 -
2026-06-09T10:50:08.159944345Z 2026-06-09 10:50:08,159 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:50:18.321609593Z 2026-06-09 10:50:18,321 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:50:28.490207302Z 2026-06-09 10:50:28,488 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:50:31.258255948Z 2026-06-09 10:50:31,258 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:50:31] "GET / HTTP/1.1" 200 -
2026-06-09T10:50:38.653244307Z 2026-06-09 10:50:38,652 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:50:48.817720042Z 2026-06-09 10:50:48,817 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:50:59.004620621Z 2026-06-09 10:50:59,004 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:51:09.167209194Z 2026-06-09 10:51:09,166 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:51:18.334872039Z 2026-06-09 10:51:18,334 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:51:18] "GET / HTTP/1.1" 200 -
2026-06-09T10:51:19.334123448Z 2026-06-09 10:51:19,333 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:51:29.499022755Z 2026-06-09 10:51:29,498 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:51:34.465349294Z 2026-06-09 10:51:34,465 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:51:34] "GET / HTTP/1.1" 200 -
2026-06-09T10:51:39.667571784Z 2026-06-09 10:51:39,667 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:51:49.830539638Z 2026-06-09 10:51:49,830 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:51:59.993298826Z 2026-06-09 10:51:59,993 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:52:08.501535091Z 2026-06-09 10:52:08,501 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:52:08] "GET / HTTP/1.1" 200 -
2026-06-09T10:52:10.155391267Z 2026-06-09 10:52:10,155 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:52:20.318384632Z 2026-06-09 10:52:20,318 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:52:30.489890403Z 2026-06-09 10:52:30,489 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:52:30.838217296Z 2026-06-09 10:52:30,838 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:52:30] "GET / HTTP/1.1" 200 -
2026-06-09T10:52:40.6611881Z 2026-06-09 10:52:40,658 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:52:50.829427341Z 2026-06-09 10:52:50,829 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:53:00.997130207Z 2026-06-09 10:53:00,995 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:53:11.160236666Z 2026-06-09 10:53:11,157 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:53:15.161495587Z 2026-06-09 10:53:15,161 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:53:15] "GET / HTTP/1.1" 200 -
2026-06-09T10:53:21.325136355Z 2026-06-09 10:53:21,324 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:53:25.533741613Z 2026-06-09 10:53:25,533 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:53:25] "HEAD / HTTP/1.1" 200 -
